period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
123,ABERDEEN,NORWAY,STAVANGER,SAS,S,81,4,4.705882,25.882353,31.764706,14.117647,9.411765,8.235294,1.176471,0,0,4.705882,19.45679,80,8
123,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,S,86,2,4.545455,56.818182,27.272727,3.409091,5.681818,0,0,0,0,2.272727,3.790698,0,0
123,ABERDEEN,SPAIN,ALICANTE,RYANAIR,S,20,0,10,30,40,10,0,5,5,0,0,0,15.95,100,2.5
123,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),TUI AIRWAYS LTD,C,16,0,0,18.75,50,18.75,12.5,0,0,0,0,0,12.125,83.333333,13.944444
123,ABERDEEN,SWITZERLAND,GENEVA,EASYJET UK LTD,S,8,0,0,0,25,12.5,62.5,0,0,0,0,0,35.375,60,15.2
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,ABERDEEN,LOGANAIR LTD,S,46,0,2.173913,36.956522,34.782609,13.043478,2.173913,10.869565,0,0,0,0,14.847826,72.222222,17.382353
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,AER LINGUS,S,195,7,10.891089,61.386139,16.336634,2.475248,2.475248,2.970297,0,0,0,3.465347,4.358974,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,BA CITYFLYER LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,91.666667,1.125
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,EMERALD AIRLINES UK LTD,S,10,0,0,50,40,10,0,0,0,0,0,0,2.5,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,FLYBE LTD,S,103,14,4.273504,48.717949,23.076923,4.273504,5.128205,0.854701,1.709402,0,0,11.965812,7.980583,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BRISTOL,EASYJET UK LTD,S,18,0,0,66.666667,16.666667,16.666667,0,0,0,0,0,0,3.944444,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,AER LINGUS,S,18,0,5.555556,50,38.888889,5.555556,0,0,0,0,0,0,4,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,86.666667,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,EMERALD AIRLINES (IRELAND) LIMITED,S,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0
123,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,EMERALD AIRLINES UK LTD,S,28,0,3.571429,46.428571,35.714286,14.285714,0,0,0,0,0,0,3.857143,0,0
