period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
133,HEATHROW,AUSTRIA,VIENNA,BRITISH AIRWAYS PLC,S,294,0,8.163265,27.55102,35.37415,14.62585,11.22449,2.380952,0,0.680272,0,0,14.289116,204,66.990291,15.416667
133,HEATHROW,BELGIUM,BRUSSELS,BRITISH AIRWAYS PLC,S,256,12,4.477612,37.313433,35.820896,9.701493,5.597015,2.61194,0,0,0,4.477612,9.511719,255,64.728682,18.784314
133,HEATHROW,BELGIUM,BRUSSELS,BRUSSELS AIRLINES,S,230,2,1.724138,34.482759,40.086207,12.931034,8.189655,1.724138,0,0,0,0.862069,10.547826,166,68.072289,13.63253
133,HEATHROW,CROATIA,SPLIT,CROATIA AIRLINES,S,8,0,0,0,25,12.5,50,12.5,0,0,0,0,33.75,0,0,0
133,HEATHROW,CROATIA,ZAGREB,BRITISH AIRWAYS PLC,S,52,0,3.846154,32.692308,44.230769,9.615385,9.615385,0,0,0,0,0,8.538462,48,43.75,31.9375
133,HEATHROW,CROATIA,ZAGREB,CROATIA AIRLINES,C,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,7.5
133,HEATHROW,CROATIA,ZAGREB,CROATIA AIRLINES,S,26,0,0,7.692308,23.076923,15.384615,38.461538,15.384615,0,0,0,0,35.461538,34,44.117647,24.676471
133,HEATHROW,CYPRUS,LARNACA,BRITISH AIRWAYS PLC,S,128,0,0.78125,17.1875,38.28125,18.75,19.53125,5.46875,0,0,0,0,20.53125,120,59.166667,16.541667
133,HEATHROW,DENMARK,BILLUND,BRITISH AIRWAYS PLC,S,42,0,11.904762,35.714286,30.952381,11.904762,4.761905,0,0,0,4.761905,0,46.97619,50,58,23.08
133,HEATHROW,DENMARK,COPENHAGEN,BRITISH AIRWAYS PLC,S,368,4,10.483871,35.215054,33.602151,9.139785,6.451613,3.763441,0.268817,0,0,1.075269,10.709239,298,75,11.16443
133,HEATHROW,DENMARK,COPENHAGEN,SAS,S,230,4,9.401709,37.179487,34.615385,9.401709,6.837607,0.854701,0,0,0,1.709402,7.504348,198,90.09901,3.540404
133,HEATHROW,DENMARK,COPENHAGEN,SCANDINAVIAN AIRLINES IRELAND LTD,S,34,0,8.823529,55.882353,32.352941,0,2.941176,0,0,0,0,0,2.117647,63,92.063492,4
133,HEATHROW,FINLAND,HELSINKI,FINNAIR,S,248,1,7.630522,32.931727,36.144578,11.646586,6.425703,4.016064,0.803213,0,0,0.401606,12.258065,232,82.352941,6.887931
133,HEATHROW,FRANCE,LYON,BRITISH AIRWAYS PLC,S,124,2,2.380952,34.126984,24.603175,23.015873,11.904762,2.380952,0,0,0,1.587302,14.064516,172,62.209302,18.244186
133,HEATHROW,FRANCE,MARSEILLE,BRITISH AIRWAYS PLC,S,104,0,4.807692,32.692308,33.653846,16.346154,6.730769,5.769231,0,0,0,0,13.423077,90,74.444444,12.677778
133,HEATHROW,FRANCE,NICE,AIR FRANCE,S,22,2,0,29.166667,33.333333,25,4.166667,0,0,0,0,8.333333,10.863636,60,83.333333,9.3
133,HEATHROW,FRANCE,NICE,BRITISH AIRWAYS PLC,S,324,12,3.869048,34.22619,35.714286,13.392857,5.952381,2.380952,0.892857,0,0,3.571429,11.203704,265,57.518797,18.226415
