flight_id,period_id,airport_id,city_id,airline_id,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,flights_unmatched_percent,previous_year_month_flights_matched
46,123,2002,641,1112,S,0,0,0,0,0,0,0,0,0,0,0,0,0,86.666667,0,,
47,123,2002,641,1125,S,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,,
48,123,2002,641,1123,S,28,0,3.571429,46.428571,35.714286,14.285714,0,0,0,0,0,0,3.857143,0,0,,
49,123,2002,680,1111,S,18,0,22.222222,72.222222,5.555556,0,0,0,0,0,0,0,0,100,0,,
50,123,2002,683,1124,S,46,12,0,22.413793,37.931034,3.448276,6.896552,3.448276,1.724138,3.448276,0,20.689655,24.695652,0,0,,
51,123,2002,684,1117,S,142,0,18.309859,59.15493,19.71831,0,1.408451,0,1.408451,0,0,0,3.28169,96.969697,0.171875,,
52,123,2002,684,1123,S,10,0,10,50,40,0,0,0,0,0,0,0,1.3,0,0,,
53,123,2002,684,1124,S,50,8,10.344828,25.862069,20.689655,6.896552,10.344828,8.62069,0,3.448276,0,13.793103,23.62,0,0,,
54,123,2002,690,1117,S,36,0,16.666667,55.555556,25,2.777778,0,0,0,0,0,0,1.111111,0,0,,
55,123,2002,690,1115,S,0,0,0,0,0,0,0,0,0,0,0,0,0,92.307692,7.961538,,
56,123,2002,690,1125,S,0,2,0,0,0,0,0,0,0,0,0,100,0,0,0,,
57,123,2002,690,1124,S,0,2,0,0,0,0,0,0,0,0,0,100,0,0,0,,
58,123,2002,706,1117,S,31,0,19.354839,54.83871,12.903226,6.451613,3.225806,0,3.225806,0,0,0,7.225806,0,0,,
59,123,2002,706,1115,S,0,0,0,0,0,0,0,0,0,0,0,0,0,91.176471,4.911765,,
60,123,2002,706,1113,S,26,0,15.384615,69.230769,7.692308,3.846154,3.846154,0,0,0,0,0,2.384615,0,0,,
61,123,2002,706,1123,S,84,0,5.952381,48.809524,42.857143,2.380952,0,0,0,0,0,0,2.214286,0,0,,
62,123,2002,732,1111,S,38,0,23.684211,52.631579,21.052632,2.631579,0,0,0,0,0,0,1.473684,95.833333,1.791667,,
63,123,2002,770,1117,S,48,2,16,60,20,0,0,0,0,0,0,4,0.791667,0,0,,
64,123,2002,770,1115,S,0,0,0,0,0,0,0,0,0,0,0,0,0,91.37931,6.428571,,
65,123,2002,770,1123,S,92,0,6.521739,51.086957,41.304348,1.086957,0,0,0,0,0,0,1.23913,0,0,,
66,123,2002,770,1124,S,48,10,0,25.862069,37.931034,6.896552,5.172414,6.896552,0,0,0,17.241379,14.104167,0,0,,
67,123,2002,770,1126,C,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,
68,123,2002,775,1113,S,54,0,5.555556,68.518519,9.259259,5.555556,7.407407,3.703704,0,0,0,0,7.648148,0,0,,
69,123,2002,699,1113,S,116,0,38.793103,37.068966,18.965517,0.862069,4.310345,0,0,0,0,0,2.62931,97.169811,1.726415,,
70,123,2002,720,1117,S,128,2,3.846154,45.384615,34.615385,7.692308,1.538462,5.384615,0,0,0,1.538462,8.578125,95.070423,1.857143,,
71,123,2002,720,1114,S,228,4,3.017241,34.913793,32.327586,15.948276,6.896552,3.448276,0.862069,0.862069,0,1.724138,14.214912,93.939394,2.29798,,
72,123,2002,720,1124,S,94,21,1.73913,17.391304,33.043478,9.565217,10.434783,6.086957,3.478261,0,0,18.26087,21.829787,0,0,,
73,123,2002,778,1115,S,122,0,27.04918,54.098361,13.934426,0,3.278689,1.639344,0,0,0,0,3.877049,97.590361,0.915663,,
74,123,2002,794,1117,S,200,4,26.470588,53.431373,13.72549,1.470588,0.980392,1.470588,0.490196,0,0,1.960784,3.17,93.902439,0.666667,,
75,123,2002,794,1123,S,8,0,12.5,37.5,25,12.5,12.5,0,0,0,0,0,10.625,0,0,,
76,123,2002,794,1124,S,56,7,3.174603,28.571429,26.984127,7.936508,11.111111,6.349206,4.761905,0,0,11.111111,22.107143,0,0,,
77,123,2002,825,1124,S,48,10,18.965517,36.206897,20.689655,5.172414,1.724138,0,0,0,0,17.241379,3.041667,0,0,,
78,123,2002,826,1124,S,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,,
79,123,2002,908,1117,S,36,0,8.333333,52.777778,30.555556,2.777778,0,5.555556,0,0,0,0,6.444444,0,0,,
80,123,2002,908,1112,S,0,0,0,0,0,0,0,0,0,0,0,0,0,90.909091,2.207547,,
81,123,2002,908,1123,S,80,0,6.25,46.25,43.75,3.75,0,0,0,0,0,0,2.2125,0,0,,
82,123,2002,931,1111,S,22,2,16.666667,58.333333,8.333333,0,0,8.333333,0,0,0,8.333333,8.954545,100,0,,
83,123,2002,960,1117,C,8,0,12.5,37.5,25,12.5,12.5,0,0,0,0,0,7.25,0,0,,
84,123,2002,793,1124,S,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,,
85,123,2002,568,1124,S,50,7,1.754386,15.789474,26.315789,10.526316,12.280702,12.280702,5.263158,3.508772,0,12.280702,41.02,0,0,,
86,123,2002,568,1118,S,44,0,0,20.454545,59.090909,18.181818,2.272727,0,0,0,0,0,8.340909,83.333333,5.5,,
87,123,2003,622,1122,C,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,,
88,123,2003,857,1127,C,10,0,10,30,30,10,20,0,0,0,0,0,12.1,91.666667,8.416667,,
89,123,2003,907,1127,C,10,0,0,0,20,0,60,20,0,0,0,0,41,30,47.3,,
90,123,2003,962,1110,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.833333,,
91,123,2003,612,1113,S,210,0,1.904762,62.857143,22.857143,6.190476,4.285714,0.952381,0.47619,0,0.47619,0,8.104762,88.636364,5.443182,,
